experiment_id,display_name,role,status,scope,primary_question,configuration_summary,results_file,manifest_path,held_reason,next_action
MCTS-PW70-CROSS-DOMAIN,Standard-budget PW70 correction for narrow-domain cells,search-sensitivity,live-one-job-tail-52-of59-classified,Block Grouping Stage1 and Counters Stage1/validation-led Stage2 with two seeds and both VH modes,What changes when the accidental 20-simulation PW screen is rerun with the intended 70 simulations?,SAFE Kmin3 c0.6 alpha0.5 Kmax20 with 70 simulations,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_live_summary_20260907.csv,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_followup_manifest.csv,,Only Counters Stage1/off seed2011206605 remains active: >=21/59 after52 classified; allocation hard bound approximately3.4h.
MCTS-PW70-CONFIRMATORY,Five-seed PW70 cross-domain confirmation,search-sensitivity,completed-five-seed-screen,Counters validation-led Stage2 FO Counters Stage1 and Rover Stage1 x both VH x five matched seeds,Do promising two-seed cells replicate with enough matched seeds for paired intervals and tests?,SAFE Kmin3 c0.6 alpha0.5 Kmax20 with70 simulations; add three new seeds to the two screen seeds,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_live_summary_20260905.csv,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_confirmatory_expansion_manifest.csv,Jobs retain Nice10000 low priority,All five seed cells terminal; expand FO/Rover to ten with separately registered20 jobs; Counters PW70 does not match policy consistently.
MCTS-PW-30M,Fresh 30-minute progressive-widening budget confirmation,search-efficiency,held-optional-execution-validation,Promising cells selected from cross-domain screening,Does PW retain most MCTS benefit under a paper-style 30-minute instance budget?,Fresh matched fixed and PW jobs from one commit with a hard 30-minute instance cap,,experiment_tracking/mcts_progressive_widening_cross_domain/pilot_manifest.csv,Wait for cross-domain arm selection,Post-hoc cutoffs suffice for solutions-within-budget coverage; fresh runs needed only for whole-job resource/time validation or missing/censored timing evidence.
MAIN-VAL-S2-MCTS,Validation-led Stage2 policy versus MCTS,mainstream-search-extension,completed,Drone x two VH x ten seeds,Does MCTS improve validation-selected Stage2 policies?,Width20 70 simulations PUCT0.1 estimator0.5 with 30m 2h and 6h reporting,experiment_tracking/main_val_stage2_drone_mcts_summary_20260901.csv,experiment_tracking/main_val_stage2_drone_mcts_manifest.csv,,All twenty exact endpoints terminal with VAL evidence
MCTS-LEGACY-ROVER,Rover Stage2 endpoint MCTS release,mainstream-search-extension,completed,20 terminal-led plus one validation-led Rover Stage2 endpoint,Complete the already-submitted Rover endpoint evidence before FO Counters,Width20 70 simulations three workers 120GiB,experiment_tracking/rover_stage2_terminal_mcts_20260901.csv,,,Off policy3.8 to MCTS4.2 CI[0.03 0.77] rawp.125; on policy4.0 to MCTS4.5 CI[0.12 0.88] rawp.0625; OOM allocations retained as fixed-budget outcomes
MCTS-LEGACY-FO,FO Counters Stage2 endpoint MCTS release,mainstream-search-extension,live-one-job-final-instance,20 terminal-led FO Counters Stage2 endpoints,Complete the fifth mainstream Stage2 policy/MCTS domain comparison,Normal width20 70 simulations three workers 120GiB,experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260907.csv,,,Final terminal-led VH-on seed remains5/20 after19 classified and14 explicit timeouts; one exact instance is active with approximately2.5h allocation bound.
MCTS-STAGE2-BRANCH-COMPLETION,Stage-2 MCTS missing-branch completion,mainstream-search-extension,counters-terminal-fo-tail-live,All57 identities submitted; BG13 terminal Rover19 terminal FO4 terminal and1 live Counters17 terminal and3 live,Complete branch-balanced Stage2 policy/MCTS evidence without treating absent jobs as zero,BG narrow5/20 FO normal20/70 Rover normal20/70 Counters narrow5/20;6h per instance; exact source checkpoints,experiment_tracking/stage2_policy_mcts_comparison_by_branch_20260907.csv,experiment_tracking/stage2_mcts_branch_completion_approved_20260903.csv;experiment_tracking/stage2_mcts_rover_completion_approved_20260904.csv;experiment_tracking/stage2_mcts_counters_terminal_completion_ready_20260904.csv;experiment_tracking/stage2_mcts_counters_terminal_node_retry_20260905.csv,,Counters terminal-led narrow is scheduler-terminal at off38.4 and on22.4 at6h; FO terminal/on retains one live resumable tail.
MCTS-PW-PATHBATCH,Path-batched multi-node progressive widening,search-sensitivity,held-design,Future matched Drone pilot after standard PW sensitivity,Can collecting all widening-eligible nodes on one selection path recover batching and useful breadth without excessive successor generation?,Continue selection to leaf; collect widening opportunities; generate one child per eligible path node; batched network evaluation; explicit single-backup semantics,,,Nonstandard multiple-expansion-per-simulation design; wait for standard PW histograms,Freeze update semantics and compare coverage runtime generated states batch size retained nodes and memory
MCTS-RESOURCE,MCTS worker/resource resumption,resource-sensitivity,held,FO Counters/Rover interrupted endpoints,Can lifecycle-safe 2-worker/160GB continuations finish without OOM?,Algorithm unchanged; resource adjustment documented,,,Await production deployment of lifecycle fix,"Deploy tested lifecycle commit, then resume"
LONG-DRONE,Long-training Drone continuation,training-sensitivity,completed-policy-held-mcts,3 scheduler-limited Drone S1 lineages,Does training beyond 24h improve the declared endpoint?,Continuation to early stop/1000 epochs; compare terminal and validation-selected,experiment_tracking/long_drone_endpoint_results.csv,,Three continuation-selected MCTS endpoints remain design-held,All six policy endpoints and three final-checkpoint MCTS endpoints are complete; release the three selected-checkpoint MCTS only if this side comparison is prioritized
STOP-ORIG,Original training-success stopping replication,compatibility,held,Stage-1 replication,Effect of original training-success early stopping rather than validation stopping,Training-success patience 20; replay 15000; teacher timeout 1s; terminal selection,,,Implementation/design held behind current mainstream workload,Finalize compatibility implementation and launch manifest
PUCT-EST,PUCT/estimator causal sensitivity,search-sensitivity,held,Block Grouping historical reproduction,Separate PUCT and estimator contributions,Keep width/simulations scientifically sound,,,Explicitly held by user,Do not submit until released
ENHSP-LEAF,Best-ENHSP leaf-estimator sensitivity,exploratory,completed,Selected domains/endpoints,Can a stronger ENHSP configuration improve leaf valuation?,Exploratory estimator replacement; separate from primary RQs,experiment_tracking/experiment_results.csv,,,Archive final logs/results
BG-HIST,Historical Block Grouping reproduction,historical,completed,One historical checkpoint/configuration family,Recover and explain historical 18/20,Historical width/PUCT/estimator/seed audit; exploratory only,experiment_tracking/experiment_results.csv,,,Archive provenance; do not use width-5/3 as primary
MCTS-DETERMINISM-AUDIT,Evaluation repeatability localization,search-correctness,completed-diagnostic,Two six-repeat node-family audits plus fresh same-node aware/unaware replay,Where does same-seed same-configuration MCTS first diverge?,Identical checkpoint instance node worker count and deterministic settings with first-difference root diagnostics,experiment_tracking/mcts_determinism_audit/followup_results.csv,experiment_tracking/mcts_determinism_audit/followup_submissions.tsv,,CPU-family numerical differences change internal checksums but no observed action; aware/unaware replay is identical with zero cutoffs
ACT-HISTORY-ABLATION,Action-count feature ablation,architecture-sensitivity,held-design,Fresh Stage1 training on Drone and Counters plus mostly-monotone TPP control,Does the cumulative grounded-action count feature help policy while harming search through contextual aliasing?,Set USE_ACT_HISTORY_FEATURES false before network construction; retrain because input dimensionality and learned weights change; compare policy fixed MCTS and PW,experiment_tracking/act_history_ablation.md,experiment_tracking/experiment_registry.csv,Held by user; original ASNets found action counters useful for policy but Numeric ASNets did not isolate them and MCTS interaction is unknown,Keep held; TPP is the control because bought is monotone nondecreasing and on-sale monotone nonincreasing; only drive location can cycle
MCTS-PW-COUNTERS-DIVERGENCE,Counters policy-divergence PW recovery,search-sensitivity,completed-six-job-focused-screen,Three exact Stage1 VH-off snapshots with severe policy-to-fixed-narrow regressions x PW20/PW70,Can PW recover policy successes lost when fixed narrow MCTS diverges or times out?,SAFE Kmin3 c0.6 alpha0.5 Kmax20 with separate20- and70-simulation arms,experiment_tracking/mcts_progressive_widening_cross_domain/counters_divergence_status_20260907.csv,experiment_tracking/mcts_progressive_widening_cross_domain/counters_stage1_divergence_recovery_manifest.csv,,All PW20/PW70 exact-snapshot arms terminal. Neither widening mode fully recovers the policy; PW20 seed923500475 gives the strongest partial recovery at48/59.
ANCHOR-KL-CONTROL,Nonconstant Stage-2 KL-control diagnostic,training-diagnostic,two-adaptive-jobs-running-controller-noop-epoch0-test-complete,TPP/off collapsed seed 1972442430 and stable control seed 1963100312,Can literature-grounded nonconstant KL control prevent first-update collapse without blocking later improvement?,Reuse constant-anchor baselines; run two adaptive target-KL jobs from exact Stage1 sources; start/min coefficient3; target KL0.1143; exact controller checkpoint restore,experiment_tracking/anchor_kl_control_progress_latest.csv,experiment_tracking/anchor_kl_control_tpp_screen_20260908.csv,,Jobs21144388/21144389 reached Stage2 epochs34/84. First-update test scores are10/20 and20/20. Coefficient remains3 and controller adjustments remain zero; current controller has not changed the objective.
MPRIME-VAL-ADEQUACY,MPrime validation adequacy audit,validation-design,live-60-lineage-full-rescore-98.3-percent-tail-submitted,All corrected MPrime Stage1 and both Stage2 branches,Does validation rank checkpoints and anchors reliably without saturating?,Retrospective rank/regret/saturation audit followed by two independently frozen structurally and planner-difficulty-stratified validation replicates,experiment_tracking/mprime_phase_b_live_count_20260909.csv,experiment_tracking/mprime_validation_phase_b_20260906/checkpoints.csv,,"2222/2260 checkpoint-replicates complete; last structured rebuild at2219 results had50/60 lineages complete; six original tasks active and idempotent tail21157796 dependency-pending. Compare replicate rankings then freeze checkpoints/anchors."
MCTS-PW70-TEN-SEED,PW70 ten-seed FO Counters/Rover extension,search-sensitivity,terminal-four-ten-seed-cells-exact-fo-recovery-running,"FO Counters and Rover S1,2 VH,10 seeds per cell using5 retained and5 new seeds",Do five-seed PW70 findings survive all ten original seeds?,Kmin3 c0.6 alpha0.5 widthmax20 70sim SAFE1;3workers120GiB6h,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_statistics_latest.csv,experiment_tracking/mcts_progressive_widening_cross_domain/pw70_ten_seed_expansion_20260906.csv,,All four declared-budget cells remain complete; FO/off mean8.4 includes one7/20 seed with one unclassified instance. Exact instance15 recovery21157787 is running and can only move that seed to8/20 if VAL-valid.
TPP-CATASTROPHIC-MCTS,TPP catastrophic Stage2 seed search diagnosis,search-diagnostic,completed-four-search-arms,TPP validation-led Stage2 VH-off seed1972442430 selected epoch12,Can search recover the eleven policy failures caused by seed-specific Stage2 catastrophic forgetting?,Exact checkpoint under fixed normal20/70 fixed narrow5/20 PW20 Kmin3 and PW70 Kmin3; SAFE1;6h instance cap,experiment_tracking/dynamic_experiment_jobs_latest.csv,experiment_tracking/tpp_catastrophic_mcts/manifest_20260907.csv,,Policy9/20; fixed narrow4; PW20 5/10/10; fixed normal4; PW70 4/5/7 at30m/2h/6h. Only PW20 recovers one net policy success.
ROVER-MCTS-INTERRUP-REC,Rover interrupted-instance recovery,operational-completion,completed-29-of29-opportunities-timeout,Exact interrupted Rover MCTS instances across Stage1 and Stage2 branches,Classify only instances omitted by scheduler or OOM interruption,Preserve each source checkpoint and width/iteration configuration; six-hour instance cap; one-worker follow-up for cleanup-failed instances,experiment_tracking/dynamic_experiment_jobs_latest.csv,experiment_tracking/rover_interrupted_mcts_recovery_manifest_20260908.csv,,All29 formerly unclassified instances reached the declared six-hour timeout; Rover aggregates are unchanged.
